iter	Passed	Remaining
663	1570	794
664	1572	792
665	1574	789
666	1575	786
667	1577	783
668	1579	781
669	1581	778
670	1584	776
671	1586	774
672	1587	771
673	1589	768
674	1590	765
675	1593	763
676	1595	761
677	1596	758
678	1598	755
679	1599	752
680	1605	751
681	1606	749
682	1608	746
683	1610	744
684	1612	741
685	1614	738
686	1616	736
687	1618	734
688	1621	731
689	1623	729
690	1625	726
691	1626	724
692	1628	721
693	1629	718
694	1631	715
695	1634	713
696	1636	711
697	1638	709
698	1642	707
699	1644	704
700	1646	702
701	1648	699
702	1650	697
703	1651	694
704	1653	691
705	1656	689
706	1664	689
707	1666	687
708	1669	685
709	1671	682
710	1680	683
711	1682	680
712	1684	677
713	1687	675
714	1688	673
715	1690	670
716	1692	667
717	1694	665
718	1704	666
719	1706	663
720	1708	661
721	1711	658
722	1712	656
723	1714	653
724	1718	651
725	1720	649
726	1722	646
727	1724	644
728	1725	641
729	1727	639
730	1729	636
731	1732	634
732	1734	631
733	1736	629
734	1738	626
735	1739	624
736	1741	621
737	1742	618
738	1744	616
739	1746	613
740	1749	611
741	1757	611
742	1759	608
743	1762	606
744	1764	603
745	1766	601
746	1768	599
747	1772	597
748	1774	594
749	1775	591
750	1777	589
751	1778	586
752	1780	584
753	1782	581
754	1783	578
755	1785	576
756	1786	573
757	1789	571
758	1791	568
759	1794	566
760	1797	564
761	1800	562
762	1802	559
763	1804	557
764	1805	554
765	1814	554
766	1817	551
767	1819	549
768	1822	547
769	1824	544
770	1826	542
771	1828	539
772	1829	537
773	1831	534
774	1833	532
775	1834	529
776	1836	527
777	1838	524
778	1839	521
779	1841	519
780	1842	516
781	1843	513
782	1847	511
783	1848	509
784	1851	507
785	1854	504
786	1856	502
787	1857	499
788	1859	497
789	1860	494
790	1862	492
791	1867	490
792	1869	488
793	1871	485
794	1872	482
795	1874	480
796	1875	477
797	1876	475
798	1878	472
799	1879	469
800	1880	467
801	1882	464
802	1884	462
803	1886	459
804	1888	457
805	1890	454
806	1891	452
807	1893	449
808	1894	447
809	1897	444
810	1899	442
811	1902	440
812	1906	438
813	1907	435
814	1908	433
815	1911	431
816	1913	428
817	1915	426
818	1917	423
819	1923	422
820	1926	420
821	1928	417
822	1929	414
823	1931	412
824	1932	409
825	1933	407
826	1935	404
827	1936	402
828	1943	400
829	1944	398
830	1946	395
831	1948	393
832	1949	390
833	1951	388
834	1954	386
835	1955	383
836	1962	382
837	1964	379
838	1966	377
839	1967	374
840	1969	372
841	1970	369
842	1971	367
843	1972	364
844	1973	362
845	1974	359
846	1978	357
847	1979	354
848	1980	352
849	1981	349
850	1983	347
851	1984	344
852	1985	342
853	1986	339
854	1988	337
855	1990	334
856	1991	332
857	1993	329
858	1995	327
859	1996	325
860	1998	322
861	1999	320
862	2001	317
863	2002	315
864	2004	312
865	2006	310
866	2008	308
867	2012	306
868	2014	303
869	2015	301
870	2017	298
871	2018	296
872	2019	293
873	2021	291
874	2022	288
875	2024	286
876	2025	284
877	2026	281
878	2028	279
879	2031	276
880	2032	274
881	2033	272
882	2034	269
883	2036	267
884	2038	264
885	2040	262
886	2041	260
887	2044	257
888	2045	255
889	2048	253
890	2049	250
891	2055	248
892	2059	246
893	2062	244
894	2064	242
895	2067	239
896	2068	237
897	2069	235
898	2071	232
899	2073	230
900	2074	227
901	2075	225
902	2077	223
903	2080	220
904	2082	218
905	2087	216
906	2089	214
907	2092	212
908	2095	209
909	2096	207
910	2097	204
911	2099	202
912	2101	200
913	2106	198
914	2109	195
915	2110	193
916	2112	191
917	2113	188
918	2114	186
919	2116	184
920	2117	181
921	2118	179
922	2119	176
923	2123	174
924	2125	172
925	2127	169
926	2129	167
927	2133	165
928	2137	163
929	2138	160
930	2140	158
931	2141	156
932	2145	154
933	2147	151
934	2149	149
935	2152	147
936	2153	144
937	2155	142
938	2156	140
939	2158	137
940	2162	135
941	2163	133
942	2165	130
943	2167	128
944	2169	126
945	2171	123
946	2173	121
947	2174	119
948	2175	116
949	2178	114
950	2180	112
951	2182	110
952	2184	107
953	2186	105
954	2189	103
955	2190	100
956	2192	98
957	2194	96
958	2200	94
959	2202	91
960	2203	89
961	2204	87
962	2206	84
963	2207	82
964	2209	80
965	2210	77
966	2211	75
967	2213	73
968	2214	70
969	2216	68
970	2218	66
971	2220	63
972	2222	61
973	2223	59
974	2225	57
975	2226	54
976	2228	52
977	2230	50
978	2231	47
979	2235	45
980	2236	43
981	2238	41
982	2241	38
983	2243	36
984	2244	34
985	2246	31
986	2247	29
987	2248	27
988	2249	25
989	2252	22
990	2255	20
991	2256	18
992	2259	15
993	2260	13
994	2261	11
995	2262	9
996	2263	6
997	2265	4
998	2266	2
999	2267	0
